item,airport_code,airport_name,city,state,date,incident_type,location
Firearms,BUR,Burbank Bob Hope Airport,Burbank,CA,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,BWI,Baltimore / Washington International Airport,BWI Airport,MD,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,bwi,Baltimore / Washington International Airport,BWI Airport,MD,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,CLT,Charlotte/Douglas International Airport,Charlotte,NC,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Ammunition,MDW,Chicago Midway Airport,Chicago,IL,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,ORD,Chicago O'hare International Airport,Chicago,IL,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,CLE,Cleveland Hopkins International Airport,Cleveland,OH,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,DFW,Dallas/Fort Worth International Airport,Dallas,TX,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,DFW,Dallas/Fort Worth International Airport,Dallas,TX,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,DEN,Denver International Airport,Denver,CO,10/1/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Firearms,DEN,Denver International Airport,Denver,CO,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,FAY,Fayetteville Regional/Grannis Field Airport,Fayetteville,NC,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Bludgeoning,GTF,Great Falls International Airport,Great Falls,MT,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,IAH,Bush Intercontinental Airport,Houston,TX,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,IAH,Bush Intercontinental Airport,Houston,TX,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Firearms,OAJ,Jacksonville/Albert J Ellis Airport,Jacksonville,NC,10/1/14,Actual Dangerous/Deadly Item,Checked Baggage Screening Location
Martial Arts/Self Defense Items,MCI,Kansas City International Airport,Kansas City,MO,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Martial Arts/Self Defense Items,LAS,Mccarran International Airport,Las Vegas,NV,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,LAS,Mccarran International Airport,Las Vegas,NV,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
Part of Firearms or Ammunition,LGB,Long Beach Airport,Long Beach,CA,10/1/14,Actual Dangerous/Deadly Item,Passenger and Carry-on Screening Location
